=== SHEET: Sheet1 ===
 | Color Name | HEX | Tier | Group/Family | Emotion & Role | How to Use | Percent Guidance | Platform Fit | Regional Notes | Feature Tags | Text on This Color | Pairs Best With 1 | Pairs Best With 2 | Pairs Best With 3 | Best After Target Color | Best After HEX | Best After Text Rule | Best After Reason | Best Before Target Color | Best Before HEX | Best Before Text Rule | Best Before Reason | Sometimes After Target Color | Sometimes After HEX | Sometimes After Text Rule | Sometimes After Reason | Sometimes Before Target Color | Sometimes Before HEX | Sometimes Before Text Rule | Sometimes Before Reason | Never After Target Color | Never After HEX | Never After Text Rule | Never After Reason | Never Before Target Color | Never Before HEX | Never Before Text Rule | Never Before Reason | Raw Score | Reason Tag | Forbidden Flag
 | Pale Blush | #FCE6E6 | 3 | Behavioral & Emotional (Risk/Disclosure) | Passive risk implication; whisper caution. | Soft info boxes/sidebars. | ≤40% boxes | Digital | Universal | Overlay • Risk/Disclosure | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes whisper-risk with container | Slate Gray | #525C66 | White | whisper-risk → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes whisper-risk with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | whisper-risk → container continuity | Gold | #F4C37D | Charcoal | whisper-risk → optimism clash | Crimson | #D44D5C | White | whisper-risk → risk mismatch | — | — | —
 | Rose Rust | #C94C4C | 3 | Behavioral & Emotional (Risk/Disclosure) | Comparative caution — “we’re not like that.” | Competitor pitfalls, small callouts. | Accents ≤10% | All | Global-safe | Accent • Risk/Disclosure | Not for running text | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes comparison-caution with container | Slate Gray | #525C66 | White | comparison → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes comparison with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | comparison → container continuity | Gold | #F4C37D | Charcoal | comparison → optimism clash | Crimson | #D44D5C | White | comparison → risk mismatch | — | — | —
 | Bone | #F9F6F0 | Utility | Neutrals / Utility | Warm neutral; humanized alternative canvas. | Team bios, referrals, intros. | Up to 100% sections | All; print-friendly | FO/referral safe | Canvas | Charcoal | Off White (Canvas) | Slate Gray | Navy | Modal Fill Gray | #E9EDF2 | Charcoal | primes warmth with container | Slate Gray | #525C66 | White | warm-neutral → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes warmth with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | warm-neutral → container continuity | Crimson | #D44D5C | White | escalation clash | Coral Red | #FF6B6B | Charcoal | empathy-risk mismatch | — | — | —
 | Modal Fill Gray | #E9EDF2 | Utility | Neutrals / Utility | Information container; subtle separation. | Info panels, sidebars. | Boxes 20–40% | Gamma/Canva; PPT | Universal | Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Off White (Canvas) | #FAFAFA | Charcoal | primes container → neutral reset | Slate Gray | #525C66 | White | container → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes container with soft-cta | Warm Clay | #DAA06D | Charcoal | primes container with reengage | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Dust Gray | #C9C9C9 | Utility | Neutrals / Utility | Sub-layer tone; spacing and dividers. | Row shading, chart guttering. | 5–30% dispersed | All | Universal | Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Off White (Canvas) | #FAFAFA | Charcoal | primes sub-layer with canvas | Slate Gray | #525C66 | White | sub-layer → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes sub-layer with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | primes sub-layer with container | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Soft Gray | #7B7B7B | Utility | Neutrals / Utility | Microtext de-emphasis; metadata. | Small print, timestamps, non-critical labels. | Text only | All | Universal | Text | Use on light canvases only | Off White (Canvas) | Slate Gray | Bone | Off White (Canvas) | #FAFAFA | Charcoal | primes metadata with canvas | Slate Gray | #525C66 | White | metadata → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes metadata with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | metadata → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Off Black | #111111 | Utility | Neutrals / Utility | Controlled intensity for dark emphasis. | Titles/headers/lines where density needed. | Text/lines only | PDF/PPT | Universal; avoid all-black slides | Text | Use on light canvases only | Off White (Canvas) | Slate Gray | Bone | Off White (Canvas) | #FAFAFA | Charcoal | primes intensity with canvas | Slate Gray | #525C66 | White | intensity → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes intensity with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | intensity → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Mint Gray | #ECECEC | Utility | Neutrals / Utility | Subtle separation; breathes without borders. | Neutral fills for boxes/rows. | 5–30% dispersed | All | Nearly white on screen | Panel/Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Off White (Canvas) | #FAFAFA | Charcoal | primes subtle neutral with canvas | Slate Gray | #525C66 | White | subtle neutral → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes subtle neutral with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | subtle neutral → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Off Gray / Soft White | #DDE2E6 | Utility | Neutrals / Utility | Cooler off-white canvas; preserves neutrality with tone. | Alt backgrounds for sections, PDFs. | 100% canvas sections | PDF/PPT ideal | Print-friendly | Canvas | Charcoal | Off White (Canvas) | Slate Gray | Bone | Off White (Canvas) | #FAFAFA | Charcoal | primes cool off-white with canvas | Slate Gray | #525C66 | White | off-gray → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes off-gray with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | off-gray → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Oxford Blue | #14213D | 2 | Structural / Data | Deep formality; cover/section gravitas. | Dark-mode covers, conservative section dividers. | Background 80–100% for titles | All (great in PDF/PPT) | Global-safe formal tone (U.S./EU covers) | Canvas | White | Off White (Canvas) | Bone | Slate Gray | Modal Fill Gray | #E9EDF2 | Charcoal | primes authority with container | Slate Gray | #525C66 | White | authority → structured comparison | Pale Mint | #C1E1C1 | Charcoal | primes authority with soft-cta | Signal Blue | #3C61C5 | White | maintains tonal continuity (authority → data-pop) | Crimson | #D44D5C | White | fear spike after authority (whiplash) | Gold | #F4C37D | Charcoal | optimism shift without proof feels promotional |  |  | 
 | Payne’s Gray | #404E5C | 2 | Structural / Data | Legal clarity; neutral rigor for compliance. | Legal tables, footers, sidebars. | Background up to full page in dense info | All; excellent grayscale/print behavior | Favored in formal GCC/EU diligence | Canvas | White | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes rigor with container | Slate Gray | #525C66 | White | rigor → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes rigor with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | rigor → container continuity | Crimson | #D44D5C | White | abrupt escalation not aligned to tone | Gold | #F4C37D | Charcoal | optimism mismatch |  |  | 
 | Air Force Blue | #5D8AA8 | 2 | Structural / Data | Tactical clarity; structured tone between core blue and gray. | Strategy sections, thesis visuals. | Panels ≤60%; accents ≤20% | All; print-safe | Global-safe institutional blue | Panel | White | Off White (Canvas) | Slate Gray | Cobalt Blue | Modal Fill Gray | #E9EDF2 | Charcoal | primes strategy with container | Slate Gray | #525C66 | White | strategy → structure clarity | Pale Mint | #C1E1C1 | Charcoal | primes strategy with soft-cta | Signal Blue | #3C61C5 | White | strategy → data-pop continuity | Gold | #F4C37D | Charcoal | primes strategy with optimism | Crimson | #D44D5C | White | strategy → risk mismatch |  |  | 
 | Federal Blue | #2C3E50 | 2 | Structural / Data | Governance/“official” seriousness (U.S.-centric). | Covers/sections addressing policy or regulatory integrity. | Background 80–100% for titles/sections | All (PDF/PPT preferred) | Strongest in U.S./EU contexts | Canvas | White | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes governance with container | Slate Gray | #525C66 | White | governance → structure clarity | Pale Mint | #C1E1C1 | Charcoal | primes governance with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | governance → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch |  |  | 
